viettelpost_province_id,name,country_id:id,code
1,Hà Nội,base.vn,HNI
2,Hồ Chí Minh,base.vn,HCM
3,Hải Phòng,base.vn,HPG
4,Đà Nẵng,base.vn,DNG
5,Cần Thơ,base.vn,CTO
6,Tiền Giang,base.vn,TGG
8,Hậu Giang,base.vn,HUG
9,Đăk Nông,base.vn,DKG
10,Vĩnh Phúc,base.vn,VPC
11,Bắc Ninh,base.vn,BNH
12,Hải Dương,base.vn,HDG
13,Hưng Yên,base.vn,HYN
14,Hà Nam,base.vn,HNM
15,Nam Ðịnh,base.vn,NDH
16,Thái Bình,base.vn,TBH
17,Ninh Bình,base.vn,NBH
18,Hà Giang,base.vn,HGG
19,Cao Bằng,base.vn,CBG
20,Lào Cai,base.vn,LCI
21,Bắc Kạn,base.vn,BKN
22,Lạng Sơn,base.vn,LSN
23,Tuyên Quang,base.vn,TQG
24,Yên Bái,base.vn,YBN
25,Thái Nguyên,base.vn,TNN
26,Phú Thọ,base.vn,PHO
27,Bắc Giang,base.vn,BGG
28,Quảng Ninh,base.vn,QNH
29,Lai Châu,base.vn,LCU
30,Sơn La,base.vn,SLA
31,Hòa Bình,base.vn,HBH
32,Thanh Hóa,base.vn,THA
33,Nghệ An,base.vn,NAN
34,Hà Tĩnh,base.vn,HTH
35,Quảng Bình,base.vn,QBH
36,Quảng Trị,base.vn,QTI
37,Thừa Thiên - Huế,base.vn,HUE
38,Quảng Nam,base.vn,QNM
39,Quảng Ngãi,base.vn,QNI
40,Bình Ðịnh,base.vn,BDH
41,Phú Yên,base.vn,PYN
42,Khánh Hòa,base.vn,KHA
43,Kon Tum,base.vn,KTM
44,Gia Lai,base.vn,GLI
45,Đăk Lăk,base.vn,DLK
46,Lâm Ðồng,base.vn,LDG
47,Ninh Thuận,base.vn,NTN
48,Bình Phước,base.vn,BPC
49,Tây Ninh,base.vn,TNH
50,Bình Dương,base.vn,BDG
51,Đồng Nai,base.vn,DNI
52,Bình Thuận,base.vn,BTN
53,Bà rịa - Vũng tàu,base.vn,VTU
54,Long An,base.vn,LAN
55,Đồng Tháp,base.vn,DTP
56,An Giang,base.vn,AGG
57,Vĩnh Long,base.vn,VLG
58,Bến Tre,base.vn,BTE
59,Kiên Giang,base.vn,KGG
60,Trà Vinh,base.vn,TVH
61,Sóc Trăng,base.vn,STG
62,Bạc Liêu,base.vn,BLU
63,Cà Mau,base.vn,CMU
64,Điện Biên,base.vn,DBN
